Training pFedFDA...
Round [154/200]	 Train Loss [0.0684]	 Train Acc [97.90]	 Train Time [72.33]
Round [155/200]	 Train Loss [0.0727]	 Train Acc [97.76]	 Train Time [54.37]
Round [156/200]	 Train Loss [0.0622]	 Train Acc [98.09]	 Train Time [36.79]
Round [157/200]	 Train Loss [0.0605]	 Train Acc [98.12]	 Train Time [41.98]
Round [158/200]	 Train Loss [0.0705]	 Train Acc [97.85]	 Train Time [64.53]
Round [159/200]	 Train Loss [0.0671]	 Train Acc [97.92]	 Train Time [41.76]
KL Divergence: μ=6.8982
Round [160/200]	 Train Loss [0.0636]	 Train Acc [98.03]	 Test Loss [0.8760]	 Test Acc [76.34(9.98)]	 Train Time [62.15]
Round [161/200]	 Train Loss [0.0670]	 Train Acc [97.90]	 Train Time [67.37]
Round [162/200]	 Train Loss [0.0620]	 Train Acc [98.08]	 Train Time [51.14]
Round [163/200]	 Train Loss [0.0561]	 Train Acc [98.27]	 Train Time [50.84]
Round [164/200]	 Train Loss [0.0613]	 Train Acc [98.14]	 Train Time [47.69]
Round [165/200]	 Train Loss [0.0659]	 Train Acc [97.95]	 Train Time [62.27]
Round [166/200]	 Train Loss [0.0637]	 Train Acc [98.02]	 Train Time [62.15]
Round [167/200]	 Train Loss [0.0667]	 Train Acc [97.91]	 Train Time [50.85]
Round [168/200]	 Train Loss [0.0677]	 Train Acc [97.87]	 Train Time [73.29]
Round [169/200]	 Train Loss [0.0643]	 Train Acc [98.00]	 Train Time [55.00]
Round [170/200]	 Train Loss [0.0629]	 Train Acc [98.06]	 Train Time [55.63]
Round [171/200]	 Train Loss [0.0633]	 Train Acc [98.00]	 Train Time [65.75]
Round [172/200]	 Train Loss [0.0639]	 Train Acc [98.02]	 Train Time [58.91]
Round [173/200]	 Train Loss [0.0642]	 Train Acc [98.02]	 Train Time [61.22]
Round [174/200]	 Train Loss [0.0656]	 Train Acc [97.94]	 Train Time [52.89]
Round [175/200]	 Train Loss [0.0588]	 Train Acc [98.16]	 Train Time [62.17]
Round [176/200]	 Train Loss [0.0653]	 Train Acc [97.96]	 Train Time [59.66]
Round [177/200]	 Train Loss [0.0622]	 Train Acc [98.08]	 Train Time [63.15]
Round [178/200]	 Train Loss [0.0697]	 Train Acc [97.89]	 Train Time [45.74]
Round [179/200]	 Train Loss [0.0595]	 Train Acc [98.12]	 Train Time [54.53]
KL Divergence: μ=7.2098
Round [180/200]	 Train Loss [0.0629]	 Train Acc [98.00]	 Test Loss [0.8871]	 Test Acc [76.01(9.85)]	 Train Time [49.76]
Round [181/200]	 Train Loss [0.0616]	 Train Acc [98.10]	 Train Time [53.00]
Round [182/200]	 Train Loss [0.0621]	 Train Acc [98.03]	 Train Time [70.31]
Round [183/200]	 Train Loss [0.0650]	 Train Acc [97.93]	 Train Time [52.40]
Round [184/200]	 Train Loss [0.0624]	 Train Acc [98.09]	 Train Time [47.46]
Round [185/200]	 Train Loss [0.0725]	 Train Acc [97.77]	 Train Time [38.52]
Round [186/200]	 Train Loss [0.0625]	 Train Acc [98.11]	 Train Time [50.37]
Round [187/200]	 Train Loss [0.0598]	 Train Acc [98.15]	 Train Time [62.36]
Round [188/200]	 Train Loss [0.0575]	 Train Acc [98.15]	 Train Time [48.48]
Round [189/200]	 Train Loss [0.0587]	 Train Acc [98.17]	 Train Time [44.68]
Round [190/200]	 Train Loss [0.0620]	 Train Acc [98.08]	 Train Time [48.09]
Round [191/200]	 Train Loss [0.0531]	 Train Acc [98.38]	 Train Time [43.00]
Round [192/200]	 Train Loss [0.0520]	 Train Acc [98.43]	 Train Time [71.25]
Round [193/200]	 Train Loss [0.0561]	 Train Acc [98.27]	 Train Time [54.84]
Round [194/200]	 Train Loss [0.0546]	 Train Acc [98.30]	 Train Time [55.32]
Round [195/200]	 Train Loss [0.0605]	 Train Acc [98.10]	 Train Time [51.66]
Round [196/200]	 Train Loss [0.0488]	 Train Acc [98.47]	 Train Time [57.02]
Round [197/200]	 Train Loss [0.0548]	 Train Acc [98.30]	 Train Time [66.09]
Round [198/200]	 Train Loss [0.0536]	 Train Acc [98.34]	 Train Time [53.56]
Round [199/200]	 Train Loss [0.0563]	 Train Acc [98.27]	 Train Time [47.01]
KL Divergence: μ=7.2865
Round [200/200]	 Train Loss [0.0579]	 Train Acc [98.19]	 Test Loss [0.8794]	 Test Acc [76.43(10.31)]	 Train Time [183.46]
Method took (56.22, 13.08) seconds per training iteration
Method took (11264.68) total seconds
