Training FedAvg...
Round [189/200]	 Train Loss [0.0479]	 Train Acc [98.50]	 Train Time [85.01]
Round [190/200]	 Train Loss [0.0463]	 Train Acc [98.57]	 Train Time [80.94]
Round [191/200]	 Train Loss [0.0462]	 Train Acc [98.56]	 Train Time [61.04]
Round [192/200]	 Train Loss [0.0492]	 Train Acc [98.47]	 Train Time [75.50]
Round [193/200]	 Train Loss [0.0455]	 Train Acc [98.62]	 Train Time [66.87]
Round [194/200]	 Train Loss [0.0471]	 Train Acc [98.56]	 Train Time [99.82]
Round [195/200]	 Train Loss [0.0428]	 Train Acc [98.69]	 Train Time [108.52]
Round [196/200]	 Train Loss [0.0437]	 Train Acc [98.66]	 Train Time [60.46]
Round [197/200]	 Train Loss [0.0460]	 Train Acc [98.61]	 Train Time [70.24]
Round [198/200]	 Train Loss [0.0463]	 Train Acc [98.58]	 Train Time [62.61]
Round [199/200]	 Train Loss [0.0457]	 Train Acc [98.58]	 Train Time [82.53]
Round [200/200]	 Train Loss [0.0443]	 Train Acc [98.65]	 Test Loss [1.2768|1.2370]	 Test Acc [62.44(10.34)|74.43(11.39)]	 Train Time [243.05]
Method took (69.94, 16.25) seconds per training iteration
Method took (13989.35) total seconds
