Training FedAvg with model cifaredl on cifar10 for 100 clients.
Hyperparameters: LR=0.01, WD=0.0005, Local Epochs=5, Global Rounds=200
Round [190/200]	 Train Loss [0.1542]	 Train Acc [95.31%]	 Time [34.15s]
Round [191/200]	 Train Loss [0.1440]	 Train Acc [95.65%]	 Time [32.14s]
Round [192/200]	 Train Loss [0.1551]	 Train Acc [95.47%]	 Time [31.39s]
Round [193/200]	 Train Loss [0.1444]	 Train Acc [95.65%]	 Time [20.05s]
Round [194/200]	 Train Loss [0.1546]	 Train Acc [95.24%]	 Time [35.98s]
Round [195/200]	 Train Loss [0.1396]	 Train Acc [95.74%]	 Time [41.85s]
Round [196/200]	 Train Loss [0.1627]	 Train Acc [95.10%]	 Time [48.89s]
Round [197/200]	 Train Loss [0.1520]	 Train Acc [95.37%]	 Time [48.99s]
Round [198/200]	 Train Loss [0.1534]	 Train Acc [95.29%]	 Time [32.07s]
Round [199/200]	 Train Loss [0.1536]	 Train Acc [95.26%]	 Time [27.60s]
--- Round [200/200] ---
  Train Loss: 0.1560	 Train Acc: 95.36%
  Test Loss:  0.6462	 Test Acc:  78.60%
  Calibration: Brier=0.3053, ECE=0.0150
  OOD Detection: AUROC=0.7256, FPR@95TPR=0.6103
  Time: 30.10s
Method took (6852.54) total seconds for all rounds.
