Training pFedFDA with model cifarnet on cifar10 for 100 clients.
Hyperparameters: LR=0.01, WD=0.0005, Local Epochs=5, Global Rounds=200
Round [126/200]	 Train Loss [0.1441]	 Train Acc [95.55]	 Train Time [33.94]
Round [127/200]	 Train Loss [0.1396]	 Train Acc [95.78]	 Train Time [38.79]
Round [128/200]	 Train Loss [0.1413]	 Train Acc [95.66]	 Train Time [43.69]
Round [129/200]	 Train Loss [0.1301]	 Train Acc [96.07]	 Train Time [45.93]
Round [130/200]	 Train Loss [0.1368]	 Train Acc [95.81]	 Train Time [30.88]
Round [131/200]	 Train Loss [0.1310]	 Train Acc [95.97]	 Train Time [33.35]
Round [132/200]	 Train Loss [0.1289]	 Train Acc [96.00]	 Train Time [41.29]
Round [133/200]	 Train Loss [0.1345]	 Train Acc [95.85]	 Train Time [30.68]
Round [134/200]	 Train Loss [0.1532]	 Train Acc [95.29]	 Train Time [36.46]
Round [135/200]	 Train Loss [0.1479]	 Train Acc [95.47]	 Train Time [30.93]
Round [136/200]	 Train Loss [0.1375]	 Train Acc [95.77]	 Train Time [28.65]
Round [137/200]	 Train Loss [0.1422]	 Train Acc [95.57]	 Train Time [44.54]
Round [138/200]	 Train Loss [0.1277]	 Train Acc [96.16]	 Train Time [32.94]
Round [139/200]	 Train Loss [0.1390]	 Train Acc [95.71]	 Train Time [33.47]
Round [140/200]	 Train Loss [0.1318]	 Train Acc [96.12]	 Train Time [41.61]
Round [141/200]	 Train Loss [0.1315]	 Train Acc [96.07]	 Train Time [28.19]
Round [142/200]	 Train Loss [0.1311]	 Train Acc [96.00]	 Train Time [32.23]
Round [143/200]	 Train Loss [0.1344]	 Train Acc [95.95]	 Train Time [37.54]
Round [144/200]	 Train Loss [0.1277]	 Train Acc [96.06]	 Train Time [34.11]
Round [145/200]	 Train Loss [0.1354]	 Train Acc [95.88]	 Train Time [42.84]
Round [146/200]	 Train Loss [0.1374]	 Train Acc [95.84]	 Train Time [31.48]
Round [147/200]	 Train Loss [0.1111]	 Train Acc [96.74]	 Train Time [43.04]
Round [148/200]	 Train Loss [0.1278]	 Train Acc [96.14]	 Train Time [39.33]
Round [149/200]	 Train Loss [0.1306]	 Train Acc [96.02]	 Train Time [32.28]
Round [150/200]	 Train Loss [0.1287]	 Train Acc [96.05]	 Train Time [44.79]
Round [151/200]	 Train Loss [0.1231]	 Train Acc [96.22]	 Train Time [36.91]
Round [152/200]	 Train Loss [0.1377]	 Train Acc [95.64]	 Train Time [35.47]
Round [153/200]	 Train Loss [0.1340]	 Train Acc [95.91]	 Train Time [37.22]
Round [154/200]	 Train Loss [0.1090]	 Train Acc [96.84]	 Train Time [34.63]
Round [155/200]	 Train Loss [0.1369]	 Train Acc [95.86]	 Train Time [33.29]
Round [156/200]	 Train Loss [0.1196]	 Train Acc [96.43]	 Train Time [30.95]
Round [157/200]	 Train Loss [0.1151]	 Train Acc [96.61]	 Train Time [32.53]
Round [158/200]	 Train Loss [0.1169]	 Train Acc [96.52]	 Train Time [38.61]
Round [159/200]	 Train Loss [0.1121]	 Train Acc [96.68]	 Train Time [37.79]
Round [160/200]	 Train Loss [0.1167]	 Train Acc [96.54]	 Train Time [49.38]
Round [161/200]	 Train Loss [0.1267]	 Train Acc [96.17]	 Train Time [33.58]
Round [162/200]	 Train Loss [0.1280]	 Train Acc [96.07]	 Train Time [27.01]
Round [163/200]	 Train Loss [0.1257]	 Train Acc [96.19]	 Train Time [41.28]
Round [164/200]	 Train Loss [0.1196]	 Train Acc [96.37]	 Train Time [41.04]
Round [165/200]	 Train Loss [0.1243]	 Train Acc [96.15]	 Train Time [43.74]
Round [166/200]	 Train Loss [0.1167]	 Train Acc [96.51]	 Train Time [38.82]
Round [167/200]	 Train Loss [0.1150]	 Train Acc [96.49]	 Train Time [34.39]
Round [168/200]	 Train Loss [0.1222]	 Train Acc [96.34]	 Train Time [35.46]
Round [169/200]	 Train Loss [0.1185]	 Train Acc [96.43]	 Train Time [31.02]
Round [170/200]	 Train Loss [0.1256]	 Train Acc [96.11]	 Train Time [50.66]
Round [171/200]	 Train Loss [0.1219]	 Train Acc [96.33]	 Train Time [41.85]
Round [172/200]	 Train Loss [0.1106]	 Train Acc [96.60]	 Train Time [31.08]
Round [173/200]	 Train Loss [0.1064]	 Train Acc [96.77]	 Train Time [38.13]
Round [174/200]	 Train Loss [0.1193]	 Train Acc [96.42]	 Train Time [33.64]
Round [175/200]	 Train Loss [0.1220]	 Train Acc [96.30]	 Train Time [33.07]
Round [176/200]	 Train Loss [0.1244]	 Train Acc [96.14]	 Train Time [37.80]
Round [177/200]	 Train Loss [0.1137]	 Train Acc [96.59]	 Train Time [31.30]
Round [178/200]	 Train Loss [0.1143]	 Train Acc [96.56]	 Train Time [36.21]
Round [179/200]	 Train Loss [0.1177]	 Train Acc [96.44]	 Train Time [39.71]
Round [180/200]	 Train Loss [0.1175]	 Train Acc [96.58]	 Train Time [24.40]
Round [181/200]	 Train Loss [0.1091]	 Train Acc [96.81]	 Train Time [46.31]
Round [182/200]	 Train Loss [0.1121]	 Train Acc [96.59]	 Train Time [40.16]
Round [183/200]	 Train Loss [0.1185]	 Train Acc [96.42]	 Train Time [37.48]
Round [184/200]	 Train Loss [0.1125]	 Train Acc [96.67]	 Train Time [41.40]
Round [185/200]	 Train Loss [0.1145]	 Train Acc [96.44]	 Train Time [38.53]
Round [186/200]	 Train Loss [0.1102]	 Train Acc [96.72]	 Train Time [40.40]
Round [187/200]	 Train Loss [0.1030]	 Train Acc [97.04]	 Train Time [46.99]
Round [188/200]	 Train Loss [0.1128]	 Train Acc [96.77]	 Train Time [35.00]
Round [189/200]	 Train Loss [0.1170]	 Train Acc [96.49]	 Train Time [24.82]
Round [190/200]	 Train Loss [0.1052]	 Train Acc [96.80]	 Train Time [46.55]
Round [191/200]	 Train Loss [0.1080]	 Train Acc [96.73]	 Train Time [41.19]
Round [192/200]	 Train Loss [0.1066]	 Train Acc [96.88]	 Train Time [27.68]
Round [193/200]	 Train Loss [0.1057]	 Train Acc [96.90]	 Train Time [38.30]
Round [194/200]	 Train Loss [0.1085]	 Train Acc [96.72]	 Train Time [36.78]
Round [195/200]	 Train Loss [0.1046]	 Train Acc [96.79]	 Train Time [36.09]
Round [196/200]	 Train Loss [0.1136]	 Train Acc [96.51]	 Train Time [36.13]
Round [197/200]	 Train Loss [0.1082]	 Train Acc [96.88]	 Train Time [46.72]
Round [198/200]	 Train Loss [0.1043]	 Train Acc [96.93]	 Train Time [28.52]
Round [199/200]	 Train Loss [0.0998]	 Train Acc [97.01]	 Train Time [38.94]
--- Round [200/200] Evaluation ---
  [Calibration] Brier: 0.7156, ECE: 0.0233
  [OOD Detection] AUROC: 0.5137, FPR@95TPR: 0.9472
  [Main] Train Loss: 0.1017, Train Acc: 97.03%
  [Main] Test Loss: 1.5565, Test Acc: 40.84% (std: 16.08)
  [Time] Train: 127.67s, Round: 127.84s
Method took (37.43 +/- 8.96) seconds per training iteration (client train + server agg).
Method took (7510.56) total seconds for all rounds.
