Training FedAvg with model cifarnet on cifar100 for 100 clients.
Hyperparameters: LR=0.01, WD=0.0005, Local Epochs=5, Global Rounds=200
Round [139/200]	 Train Loss [0.5360]	 Train Acc [85.84%]	 Time [28.91s]
Round [140/200]	 Train Loss [0.5341]	 Train Acc [85.54%]	 Time [27.74s]
Round [141/200]	 Train Loss [0.5478]	 Train Acc [85.55%]	 Time [35.02s]
Round [142/200]	 Train Loss [0.5321]	 Train Acc [85.95%]	 Time [23.54s]
Round [143/200]	 Train Loss [0.5427]	 Train Acc [85.56%]	 Time [25.01s]
Round [144/200]	 Train Loss [0.5341]	 Train Acc [85.80%]	 Time [32.09s]
Round [145/200]	 Train Loss [0.5421]	 Train Acc [85.51%]	 Time [28.87s]
Round [146/200]	 Train Loss [0.5393]	 Train Acc [85.64%]	 Time [38.36s]
Round [147/200]	 Train Loss [0.5098]	 Train Acc [86.32%]	 Time [28.95s]
Round [148/200]	 Train Loss [0.5250]	 Train Acc [86.03%]	 Time [24.39s]
Round [149/200]	 Train Loss [0.5325]	 Train Acc [85.75%]	 Time [32.07s]
Round [150/200]	 Train Loss [0.5116]	 Train Acc [86.26%]	 Time [27.22s]
Round [151/200]	 Train Loss [0.5377]	 Train Acc [85.65%]	 Time [27.99s]
Round [152/200]	 Train Loss [0.5266]	 Train Acc [85.94%]	 Time [32.64s]
Round [153/200]	 Train Loss [0.5144]	 Train Acc [86.17%]	 Time [31.04s]
Round [154/200]	 Train Loss [0.5127]	 Train Acc [86.40%]	 Time [42.42s]
Round [155/200]	 Train Loss [0.5047]	 Train Acc [86.50%]	 Time [28.73s]
Round [156/200]	 Train Loss [0.5048]	 Train Acc [86.37%]	 Time [27.19s]
Round [157/200]	 Train Loss [0.5072]	 Train Acc [86.40%]	 Time [39.23s]
Round [158/200]	 Train Loss [0.5089]	 Train Acc [86.44%]	 Time [30.92s]
Round [159/200]	 Train Loss [0.5054]	 Train Acc [86.44%]	 Time [31.89s]
Round [160/200]	 Train Loss [0.4886]	 Train Acc [86.84%]	 Time [32.11s]
Round [161/200]	 Train Loss [0.4966]	 Train Acc [86.59%]	 Time [34.76s]
Round [162/200]	 Train Loss [0.5011]	 Train Acc [86.67%]	 Time [31.98s]
Round [163/200]	 Train Loss [0.5243]	 Train Acc [85.94%]	 Time [35.03s]
Round [164/200]	 Train Loss [0.5080]	 Train Acc [86.38%]	 Time [26.83s]
Round [165/200]	 Train Loss [0.4974]	 Train Acc [86.58%]	 Time [33.24s]
Round [166/200]	 Train Loss [0.4929]	 Train Acc [86.75%]	 Time [28.03s]
Round [167/200]	 Train Loss [0.4745]	 Train Acc [87.23%]	 Time [38.83s]
Round [168/200]	 Train Loss [0.4897]	 Train Acc [86.74%]	 Time [32.17s]
Round [169/200]	 Train Loss [0.4957]	 Train Acc [86.61%]	 Time [29.03s]
Round [170/200]	 Train Loss [0.4922]	 Train Acc [86.72%]	 Time [28.66s]
Round [171/200]	 Train Loss [0.5263]	 Train Acc [85.91%]	 Time [24.02s]
Round [172/200]	 Train Loss [0.5089]	 Train Acc [86.49%]	 Time [31.71s]
Round [173/200]	 Train Loss [0.4928]	 Train Acc [86.90%]	 Time [34.79s]
Round [174/200]	 Train Loss [0.4780]	 Train Acc [87.19%]	 Time [31.70s]
Round [175/200]	 Train Loss [0.4898]	 Train Acc [86.93%]	 Time [29.74s]
Round [176/200]	 Train Loss [0.4764]	 Train Acc [87.13%]	 Time [32.24s]
Round [177/200]	 Train Loss [0.4905]	 Train Acc [86.89%]	 Time [33.04s]
Round [178/200]	 Train Loss [0.4873]	 Train Acc [87.01%]	 Time [24.74s]
Round [179/200]	 Train Loss [0.5060]	 Train Acc [86.44%]	 Time [27.49s]
Round [180/200]	 Train Loss [0.4767]	 Train Acc [87.13%]	 Time [35.57s]
Round [181/200]	 Train Loss [0.5048]	 Train Acc [86.52%]	 Time [27.66s]
Round [182/200]	 Train Loss [0.4983]	 Train Acc [86.49%]	 Time [38.15s]
Round [183/200]	 Train Loss [0.4869]	 Train Acc [86.87%]	 Time [35.61s]
Round [184/200]	 Train Loss [0.4789]	 Train Acc [87.03%]	 Time [29.91s]
Round [185/200]	 Train Loss [0.4893]	 Train Acc [86.85%]	 Time [28.08s]
Round [186/200]	 Train Loss [0.4773]	 Train Acc [87.06%]	 Time [33.99s]
Round [187/200]	 Train Loss [0.4754]	 Train Acc [87.16%]	 Time [29.09s]
Round [188/200]	 Train Loss [0.4697]	 Train Acc [87.41%]	 Time [33.71s]
Round [189/200]	 Train Loss [0.4653]	 Train Acc [87.47%]	 Time [32.38s]
Round [190/200]	 Train Loss [0.5049]	 Train Acc [86.39%]	 Time [37.41s]
Round [191/200]	 Train Loss [0.4899]	 Train Acc [86.78%]	 Time [37.74s]
Round [192/200]	 Train Loss [0.4611]	 Train Acc [87.52%]	 Time [32.40s]
Round [193/200]	 Train Loss [0.4667]	 Train Acc [87.37%]	 Time [30.67s]
Round [194/200]	 Train Loss [0.4967]	 Train Acc [86.58%]	 Time [29.02s]
Round [195/200]	 Train Loss [0.4780]	 Train Acc [87.01%]	 Time [29.81s]
Round [196/200]	 Train Loss [0.4496]	 Train Acc [87.86%]	 Time [22.74s]
Round [197/200]	 Train Loss [0.5086]	 Train Acc [86.38%]	 Time [27.74s]
Round [198/200]	 Train Loss [0.4542]	 Train Acc [87.74%]	 Time [22.62s]
Round [199/200]	 Train Loss [0.4804]	 Train Acc [87.09%]	 Time [29.70s]
--- [Global Model] Round [200/200] ---
  Train Loss: 0.4880	 Train Acc: 86.78%
  Test Loss:  2.2383	 Test Acc:  43.73%
  Calibration: Brier=0.6992, ECE=0.0398
  OOD Detection: AUROC=0.6630, FPR@95TPR=0.7679
  Time: 32.08s

--- FedAvgFT: Starting Fine-tuning and Personalized Evaluation ---
--- FedAvgFT Personalized Metrics ---
  Test Loss:  2.3715	 Test Acc:  44.42%
  Calibration: Brier=0.7361, ECE=0.1645
  OOD Detection: AUROC=0.6569, FPR@95TPR=0.7728
Method took (6190.26) total seconds for all rounds.
