Training FedAvg with model cifarnet on cifar10 for 100 clients.
Hyperparameters: LR=0.01, WD=0.0005, Local Epochs=5, Global Rounds=200
Round [191/200]	 Train Loss [0.1591]	 Train Acc [95.15]	 Train Time [34.03]
Round [192/200]	 Train Loss [0.1428]	 Train Acc [95.55]	 Train Time [26.72]
Round [193/200]	 Train Loss [0.1538]	 Train Acc [95.26]	 Train Time [41.19]
Round [194/200]	 Train Loss [0.1466]	 Train Acc [95.45]	 Train Time [30.90]
Round [195/200]	 Train Loss [0.1542]	 Train Acc [95.33]	 Train Time [26.32]
Round [196/200]	 Train Loss [0.1555]	 Train Acc [95.33]	 Train Time [34.71]
Round [197/200]	 Train Loss [0.1549]	 Train Acc [95.24]	 Train Time [41.21]
Round [198/200]	 Train Loss [0.1630]	 Train Acc [95.11]	 Train Time [33.42]
Round [199/200]	 Train Loss [0.1529]	 Train Acc [95.39]	 Train Time [28.95]
Round [200/200]	 Train Loss [0.1472]	 Train Acc [95.55]	 Test Loss [2.3713|0.6074]	 Test Acc [10.55(16.56)|82.17(10.31)]	 Train Time [106.42]
Method took (33.26 +/- 8.65) seconds per training iteration (client train + server agg).
Method took (6672.12) total seconds for all rounds.
